日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20230519,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.73,0.03,0.02,0.00,0.00,22658
20230522,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.81,0.08,0.06,0.00,0.00,22650
20230523,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.93,0.12,0.09,0.00,0.00,22666
20230524,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.92,-0.01,-0.01,0.00,0.00,22681
20230525,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.89,-0.03,-0.02,0.00,0.00,22688
20230526,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.85,-0.03,-0.02,0.00,0.00,22701
20230529,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.89,0.04,0.03,0.00,0.00,22671
20230530,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.94,0.05,0.04,0.00,0.00,22714
20230531,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,141.98,0.04,0.03,0.00,0.00,22752
20230601,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.07,0.09,0.07,0.00,0.00,22791
20230602,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.03,-0.05,-0.03,0.00,0.00,22793
20230605,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.07,0.04,0.03,0.00,0.00,22778
20230606,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.13,0.06,0.04,0.00,0.00,22793
20230607,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.19,0.06,0.05,0.00,0.00,22794
20230608,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.18,-0.01,-0.01,0.00,0.00,22794
20230609,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.25,0.07,0.05,0.00,0.00,22797
20230612,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.31,0.06,0.04,0.00,0.00,22779
20230613,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.52,0.21,0.15,0.00,0.00,22797
20230614,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.58,0.07,0.05,0.00,0.00,22821
20230615,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.47,-0.11,-0.08,0.00,0.00,22838
20230616,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.37,-0.10,-0.07,0.00,0.00,22867
20230619,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.31,-0.06,-0.04,0.00,0.00,22855
20230620,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.34,0.03,0.02,0.00,0.00,22893
20230621,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.41,0.07,0.05,0.00,0.00,22909
20230626,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.49,0.08,0.06,0.00,0.00,22855
20230627,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.45,-0.04,-0.03,0.00,0.00,22922
20230628,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.53,0.09,0.06,0.00,0.00,22969
20230629,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.56,0.02,0.02,0.00,0.00,22971
20230630,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.68,0.12,0.08,0.00,0.00,22992
