日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20231130,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.01,0.11,0.08,0.00,0.00,24260
20231201,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.10,0.08,0.06,0.00,0.00,24313
20231204,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.10,0.00,0.00,0.00,0.00,24300
20231205,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.13,0.03,0.02,0.00,0.00,24308
20231206,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.10,-0.03,-0.02,0.00,0.00,24321
20231207,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.13,0.03,0.02,0.00,0.00,24327
20231208,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.14,0.01,0.00,0.00,0.00,24344
20231211,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.25,0.11,0.08,0.00,0.00,24327
20231212,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.24,-0.01,-0.01,0.00,0.00,24335
20231213,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.40,0.16,0.11,0.00,0.00,24362
20231214,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.43,0.03,0.02,0.00,0.00,24371
20231215,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.55,0.12,0.08,0.00,0.00,24374
20231218,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.65,0.11,0.08,0.00,0.00,24370
20231219,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.68,0.02,0.02,0.00,0.00,24379
20231220,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.74,0.06,0.04,0.00,0.00,24392
20231221,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.85,0.12,0.08,0.00,0.00,24398
20231222,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.96,0.11,0.08,0.00,0.00,24399
20231225,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.14,0.18,0.13,0.00,0.00,24402
20231226,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.26,0.12,0.08,0.00,0.00,24401
20231227,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.36,0.10,0.07,0.00,0.00,24393
20231228,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.43,0.08,0.05,0.00,0.00,24391
20231229,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.52,0.09,0.06,0.00,0.00,24355
20240102,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.51,-0.01,-0.01,0.00,0.00,24375
20240103,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.50,-0.01,-0.01,0.00,0.00,24380
20240104,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.58,0.08,0.06,0.00,0.00,24378
20240105,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.73,0.15,0.11,0.00,0.00,24378
20240108,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.76,0.03,0.02,0.00,0.00,24369
20240109,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.89,0.13,0.09,0.00,0.00,24369
20240110,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.86,-0.03,-0.02,0.00,0.00,24382
20240111,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.92,0.05,0.04,0.00,0.00,24377
20240112,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.85,-0.07,-0.04,0.00,0.00,24377
20240115,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.92,0.07,0.05,0.00,0.00,24358
20240116,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,145.91,-0.01,-0.01,0.00,0.00,24376
20240117,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.01,0.10,0.07,0.00,0.00,24392
20240118,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.10,0.08,0.06,0.00,0.00,24389
20240119,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.19,0.09,0.06,0.00,0.00,24386
20240122,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.37,0.18,0.12,0.00,0.00,24359
20240123,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.35,-0.02,-0.01,0.00,0.00,24400
20240124,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.39,0.04,0.03,0.00,0.00,24429
20240125,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.50,0.11,0.07,0.00,0.00,24433
20240126,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.51,0.02,0.01,0.00,0.00,24446
20240129,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.60,0.09,0.06,0.00,0.00,24432
20240130,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,146.89,0.28,0.19,0.00,0.00,24458
20240131,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.10,0.21,0.15,0.00,0.00,24493
20240201,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.08,-0.02,-0.01,0.00,0.00,24513
20240202,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.11,0.04,0.02,0.00,0.00,24534
20240205,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.35,0.24,0.16,0.00,0.00,24528
20240206,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.17,-0.19,-0.13,0.00,0.00,24549
20240207,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.27,0.10,0.07,0.00,0.00,24584
20240208,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.22,-0.05,-0.04,0.00,0.00,24616
20240219,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.37,0.15,0.10,0.00,0.00,24616
20240220,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.47,0.10,0.07,0.00,0.00,24644
20240221,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.53,0.06,0.04,0.00,0.00,24630
20240222,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.64,0.11,0.07,0.00,0.00,24615
20240223,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.70,0.07,0.05,0.00,0.00,24601
20240226,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.78,0.07,0.05,0.00,0.00,24577
20240227,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.96,0.18,0.12,0.00,0.00,24591
20240228,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.05,0.09,0.06,0.00,0.00,24592
20240229,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.21,0.16,0.11,0.00,0.00,24620
20240301,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,147.97,-0.24,-0.16,0.00,0.00,24667
20240304,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.13,0.16,0.11,0.00,0.00,24676
20240305,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.21,0.08,0.05,0.00,0.00,24693
20240306,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.41,0.20,0.14,0.00,0.00,24728
20240307,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.51,0.10,0.07,0.00,0.00,24742
20240308,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.46,-0.05,-0.04,0.00,0.00,24748
20240311,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.42,-0.04,-0.03,0.00,0.00,24737
20240312,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.16,-0.26,-0.17,0.00,0.00,24772
20240313,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.13,-0.04,-0.03,0.00,0.00,24792
20240314,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.05,-0.08,-0.05,0.00,0.00,24809
20240315,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.13,0.08,0.06,0.00,0.00,24811
20240318,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.24,0.11,0.07,0.00,0.00,24791
20240319,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.38,0.14,0.10,0.00,0.00,24832
20240320,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.39,0.01,0.01,0.00,0.00,24885
20240321,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.38,-0.02,-0.01,0.00,0.00,24895
20240322,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.33,-0.04,-0.03,0.00,0.00,24922
20240325,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.30,-0.04,-0.02,0.00,0.00,24893
20240326,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.31,0.01,0.01,0.00,0.00,24921
20240327,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.42,0.10,0.07,0.00,0.00,24959
20240328,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.42,0.00,0.00,0.00,0.00,24988
20240329,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.51,0.10,0.07,0.00,0.00,24991
20240401,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.43,-0.08,-0.06,0.00,0.00,25021
20240402,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.56,0.13,0.08,0.00,0.00,25057
20240403,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.65,0.10,0.07,0.00,0.00,25074
20240408,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.75,0.09,0.06,0.00,0.00,25064
20240409,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.84,0.10,0.07,0.00,0.00,25083
20240410,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.81,-0.03,-0.02,0.00,0.00,25078
20240411,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.82,0.01,0.01,0.00,0.00,25089
20240412,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.99,0.17,0.11,0.00,0.00,25090
20240415,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.05,0.06,0.04,0.00,0.00,25066
20240416,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.12,0.08,0.05,0.00,0.00,25076
20240417,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.18,0.06,0.04,0.00,0.00,25099
20240418,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.37,0.19,0.13,0.00,0.00,25115
20240419,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.39,0.02,0.01,0.00,0.00,25144
20240422,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.55,0.16,0.11,0.00,0.00,25121
20240423,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.69,0.15,0.10,0.00,0.00,25138
20240424,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.61,-0.09,-0.06,0.00,0.00,25172
20240425,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.64,0.03,0.02,0.00,0.00,25191
20240426,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.37,-0.27,-0.18,0.00,0.00,25208
20240429,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,148.96,-0.41,-0.28,0.00,0.00,25198
20240430,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.27,0.31,0.21,0.00,0.00,25244
20240506,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.31,0.04,0.03,0.00,0.00,25273
20240507,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.36,0.04,0.03,0.00,0.00,25283
20240508,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.34,-0.01,-0.01,0.00,0.00,25301
20240509,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.24,-0.10,-0.07,0.00,0.00,25314
20240510,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.24,-0.01,0.00,0.00,0.00,25307
20240513,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.41,0.18,0.12,0.00,0.00,25288
20240514,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.46,0.05,0.03,0.00,0.00,25310
20240515,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.49,0.03,0.02,0.00,0.00,25314
20240516,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.43,-0.06,-0.04,0.00,0.00,25314
20240517,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.41,-0.02,-0.01,0.00,0.00,25308
20240520,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.46,0.05,0.03,0.00,0.00,25296
20240521,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.41,-0.04,-0.03,0.00,0.00,25306
20240522,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.47,0.06,0.04,0.00,0.00,25315
20240523,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.56,0.09,0.06,0.00,0.00,25325
20240524,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.59,0.03,0.02,0.00,0.00,25318
20240527,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.64,0.05,0.04,0.00,0.00,25307
20240528,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.71,0.07,0.04,0.00,0.00,25325
20240529,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.77,0.06,0.04,0.00,0.00,25361
20240530,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.80,0.03,0.02,0.00,0.00,25383
20240531,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.79,0.00,0.00,0.00,0.00,25426
20240603,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.90,0.11,0.07,0.00,0.00,25470
20240604,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,149.93,0.03,0.02,0.00,0.00,25480
20240605,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.02,0.09,0.06,0.00,0.00,25508
20240606,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.08,0.06,0.04,0.00,0.00,25558
20240607,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.14,0.06,0.04,0.00,0.00,25555
20240611,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.23,0.09,0.06,0.00,0.00,25516
20240612,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.24,0.02,0.01,0.00,0.00,25538
20240613,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.28,0.04,0.03,0.00,0.00,25551
20240614,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.39,0.11,0.07,0.00,0.00,25546
20240617,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.48,0.09,0.06,0.00,0.00,25520
20240618,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.59,0.11,0.07,0.00,0.00,25545
20240619,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.69,0.10,0.06,0.00,0.00,25564
20240620,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.75,0.07,0.04,0.00,0.00,25587
20240621,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.69,-0.06,-0.04,0.00,0.00,25613
20240624,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.76,0.06,0.04,0.00,0.00,25622
20240625,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.89,0.13,0.09,0.00,0.00,25640
20240626,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.91,0.02,0.02,0.00,0.00,25674
20240627,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.04,0.13,0.08,0.00,0.00,25711
20240628,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.08,0.04,0.03,0.00,0.00,25728
20240701,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.86,-0.22,-0.15,0.00,0.00,25746
20240702,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.02,0.16,0.11,0.00,0.00,25771
20240703,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.14,0.11,0.08,0.00,0.00,25784
20240704,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.14,0.00,0.00,0.00,0.00,25812
20240705,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.08,-0.05,-0.03,0.00,0.00,25803
20240708,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,150.86,-0.22,-0.15,0.00,0.00,25784
20240709,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.01,0.14,0.09,0.00,0.00,25810
20240710,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.04,0.03,0.02,0.00,0.00,25820
20240711,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.10,0.06,0.04,0.00,0.00,25829
20240712,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.18,0.09,0.06,0.00,0.00,25825
20240715,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.28,0.09,0.06,0.00,0.00,25829
20240716,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.28,0.00,0.00,0.00,0.00,25849
20240717,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.30,0.02,0.01,0.00,0.00,25905
20240718,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.29,-0.01,0.00,0.00,0.00,25928
20240719,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.34,0.05,0.03,0.00,0.00,25918
20240722,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.48,0.15,0.10,0.00,0.00,25891
20240723,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.58,0.10,0.07,0.00,0.00,25910
20240724,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.63,0.05,0.03,0.00,0.00,25935
20240725,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.74,0.10,0.07,0.00,0.00,25949
20240726,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.86,0.12,0.08,0.00,0.00,25943
20240729,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.97,0.11,0.07,0.00,0.00,25938
20240730,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.08,0.11,0.07,0.00,0.00,25967
20240731,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.19,0.11,0.07,0.00,0.00,26008
20240801,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.33,0.14,0.09,0.00,0.00,26096
20240802,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.43,0.10,0.07,0.00,0.00,26115
20240805,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.68,0.25,0.17,0.00,0.00,26101
20240806,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.52,-0.16,-0.10,0.00,0.00,26105
20240807,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.67,0.15,0.10,0.00,0.00,26141
20240808,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.55,-0.12,-0.08,0.00,0.00,26148
20240809,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.37,-0.18,-0.12,0.00,0.00,26143
20240812,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,151.97,-0.40,-0.27,0.00,0.00,26148
20240813,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.12,0.15,0.10,0.00,0.00,26168
20240814,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.30,0.19,0.12,0.00,0.00,26225
20240815,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.15,-0.15,-0.10,0.00,0.00,26247
20240816,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.26,0.11,0.07,0.00,0.00,26236
20240819,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.37,0.11,0.07,0.00,0.00,26214
20240820,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.36,-0.01,0.00,0.00,0.00,26239
20240821,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.23,-0.13,-0.09,0.00,0.00,26263
20240822,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.43,0.20,0.13,0.00,0.00,26286
20240823,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.45,0.02,0.01,0.00,0.00,26268
20240826,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.46,0.01,0.01,0.00,0.00,26257
20240827,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.28,-0.18,-0.12,0.00,0.00,26293
20240828,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.36,0.08,0.05,0.00,0.00,26355
20240829,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.36,-0.01,0.00,0.00,0.00,26381
20240830,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.35,-0.01,0.00,0.00,0.00,26420
20240902,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.53,0.18,0.12,0.00,0.00,26417
20240903,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.59,0.06,0.04,0.00,0.00,26402
20240904,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.67,0.08,0.05,0.00,0.00,26419
20240905,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,152.75,0.08,0.05,0.00,0.00,26443
